Date,Open,High,Low,Close,Volume
04/29/2013,1.00000E+003,1.00000E+003,1.00000E+003,1.00000E+003,0.00000E+000
04/30/2013,9.53085E+002,9.53085E+002,9.53085E+002,9.53085E+002,0.00000E+000
05/01/2013,8.24176E+002,8.24176E+002,8.24176E+002,8.24176E+002,0.00000E+000
05/02/2013,7.28586E+002,7.28586E+002,7.28586E+002,7.28586E+002,0.00000E+000
05/03/2013,6.41096E+002,6.41096E+002,6.41096E+002,6.41096E+002,0.00000E+000
05/06/2013,8.33545E+002,8.33545E+002,8.33545E+002,8.33545E+002,0.00000E+000
05/07/2013,7.49507E+002,7.49507E+002,7.49507E+002,7.49507E+002,0.00000E+000
05/08/2013,7.93463E+002,7.93463E+002,7.93463E+002,7.93463E+002,0.00000E+000
05/09/2013,7.95999E+002,7.95999E+002,7.95999E+002,7.95999E+002,0.00000E+000
05/10/2013,8.36715E+002,8.36715E+002,8.36715E+002,8.36715E+002,0.00000E+000
05/13/2013,8.25444E+002,8.25444E+002,8.25444E+002,8.25444E+002,0.00000E+000
05/14/2013,8.06565E+002,8.06565E+002,8.06565E+002,8.06565E+002,0.00000E+000
05/15/2013,8.04142E+002,8.04142E+002,8.04142E+002,8.04142E+002,0.00000E+000
05/16/2013,8.13609E+002,8.13609E+002,8.13609E+002,8.13609E+002,0.00000E+000
05/17/2013,8.67146E+002,8.67146E+002,8.67146E+002,8.67146E+002,0.00000E+000
05/20/2013,8.63483E+002,8.63483E+002,8.63483E+002,8.63483E+002,0.00000E+000
05/21/2013,8.65737E+002,8.65737E+002,8.65737E+002,8.65737E+002,0.00000E+000
05/22/2013,8.66441E+002,8.66441E+002,8.66441E+002,8.66441E+002,0.00000E+000
05/23/2013,8.85799E+002,8.85799E+002,8.85799E+002,8.85799E+002,0.00000E+000
05/24/2013,9.27726E+002,9.27726E+002,9.27726E+002,9.27726E+002,0.00000E+000
05/28/2013,9.09968E+002,9.09968E+002,9.09968E+002,9.09968E+002,0.00000E+000
05/29/2013,9.30755E+002,9.30755E+002,9.30755E+002,9.30755E+002,0.00000E+000
05/30/2013,8.97443E+002,8.97443E+002,8.97443E+002,8.97443E+002,0.00000E+000
05/31/2013,9.01522E+002,9.01522E+002,9.01522E+002,9.01522E+002,0.00000E+000
06/03/2013,8.53480E+002,8.53480E+002,8.53480E+002,8.53480E+002,0.00000E+000
06/04/2013,8.53480E+002,8.53480E+002,8.53480E+002,8.53480E+002,0.00000E+000
06/05/2013,8.54529E+002,8.54529E+002,8.54529E+002,8.54529E+002,0.00000E+000
06/06/2013,8.57382E+002,8.57382E+002,8.57382E+002,8.57382E+002,0.00000E+000
06/07/2013,8.38264E+002,8.38264E+002,8.38264E+002,8.38264E+002,0.00000E+000
06/10/2013,7.02661E+002,7.02661E+002,7.02661E+002,7.02661E+002,0.00000E+000
06/11/2013,7.46619E+002,7.46619E+002,7.46619E+002,7.46619E+002,0.00000E+000
06/12/2013,7.67117E+002,7.67117E+002,7.67117E+002,7.67117E+002,0.00000E+000
06/13/2013,7.63595E+002,7.63595E+002,7.63595E+002,7.63595E+002,0.00000E+000
06/14/2013,7.23929E+002,7.23929E+002,7.23929E+002,7.23929E+002,0.00000E+000
06/17/2013,7.07382E+002,7.07382E+002,7.07382E+002,7.07382E+002,0.00000E+000
06/18/2013,7.18512E+002,7.18512E+002,7.18512E+002,7.18512E+002,0.00000E+000
06/19/2013,7.50564E+002,7.50564E+002,7.50564E+002,7.50564E+002,0.00000E+000
06/20/2013,7.60073E+002,7.60073E+002,7.60073E+002,7.60073E+002,0.00000E+000
06/21/2013,7.81276E+002,7.81276E+002,7.81276E+002,7.81276E+002,0.00000E+000
06/24/2013,7.60778E+002,7.60778E+002,7.60778E+002,7.60778E+002,0.00000E+000
06/25/2013,7.21633E+002,7.21633E+002,7.21633E+002,7.21633E+002,0.00000E+000
06/26/2013,7.30424E+002,7.30424E+002,7.30424E+002,7.30424E+002,0.00000E+000
06/27/2013,7.28304E+002,7.28304E+002,7.28304E+002,7.28304E+002,0.00000E+000
06/28/2013,7.02029E+002,7.02029E+002,7.02029E+002,7.02029E+002,0.00000E+000
07/01/2013,6.86841E+002,6.86841E+002,6.86841E+002,6.86841E+002,0.00000E+000
07/02/2013,6.30382E+002,6.30382E+002,6.30382E+002,6.30382E+002,0.00000E+000
07/03/2013,6.39596E+002,6.39596E+002,6.39596E+002,6.39596E+002,0.00000E+000
07/05/2013,5.52832E+002,5.52832E+002,5.52832E+002,5.52832E+002,0.00000E+000
07/08/2013,5.45943E+002,5.45943E+002,5.45943E+002,5.45943E+002,0.00000E+000
07/09/2013,5.38120E+002,5.38120E+002,5.38120E+002,5.38120E+002,0.00000E+000
07/10/2013,5.42406E+002,5.42406E+002,5.42406E+002,5.42406E+002,0.00000E+000
07/11/2013,6.04043E+002,6.04043E+002,6.04043E+002,6.04043E+002,0.00000E+000
07/12/2013,6.60778E+002,6.60778E+002,6.60778E+002,6.60778E+002,0.00000E+000
07/15/2013,6.62158E+002,6.62158E+002,6.62158E+002,6.62158E+002,0.00000E+000
07/16/2013,6.85411E+002,6.85411E+002,6.85411E+002,6.85411E+002,0.00000E+000
07/17/2013,6.97236E+002,6.97236E+002,6.97236E+002,6.97236E+002,0.00000E+000
07/18/2013,6.88926E+002,6.88926E+002,6.88926E+002,6.88926E+002,0.00000E+000
07/19/2013,6.25436E+002,6.25436E+002,6.25436E+002,6.25436E+002,0.00000E+000
07/22/2013,6.36568E+002,6.36568E+002,6.36568E+002,6.36568E+002,0.00000E+000
07/23/2013,6.45974E+002,6.45974E+002,6.45974E+002,6.45974E+002,0.00000E+000
07/24/2013,6.66248E+002,6.66248E+002,6.66248E+002,6.66248E+002,0.00000E+000
07/25/2013,6.65857E+002,6.65857E+002,6.65857E+002,6.65857E+002,0.00000E+000
07/26/2013,6.82938E+002,6.82938E+002,6.82938E+002,6.82938E+002,0.00000E+000
07/29/2013,6.94392E+002,6.94392E+002,6.94392E+002,6.94392E+002,0.00000E+000
07/30/2013,7.14990E+002,7.14990E+002,7.14990E+002,7.14990E+002,0.00000E+000
07/31/2013,7.77261E+002,7.77261E+002,7.77261E+002,7.77261E+002,0.00000E+000
08/01/2013,7.48309E+002,7.48309E+002,7.48309E+002,7.48309E+002,0.00000E+000
08/02/2013,7.15765E+002,7.15765E+002,7.15765E+002,7.15765E+002,0.00000E+000
08/05/2013,7.50634E+002,7.50634E+002,7.50634E+002,7.50634E+002,0.00000E+000
08/06/2013,7.45569E+002,7.45569E+002,7.45569E+002,7.45569E+002,0.00000E+000
08/07/2013,7.51972E+002,7.51972E+002,7.51972E+002,7.51972E+002,0.00000E+000
08/08/2013,7.16202E+002,7.16202E+002,7.16202E+002,7.16202E+002,0.00000E+000
08/09/2013,7.28374E+002,7.28374E+002,7.28374E+002,7.28374E+002,0.00000E+000
08/12/2013,7.40913E+002,7.40913E+002,7.40913E+002,7.40913E+002,0.00000E+000
08/13/2013,7.47168E+002,7.47168E+002,7.47168E+002,7.47168E+002,0.00000E+000
08/14/2013,7.86285E+002,7.86285E+002,7.86285E+002,7.86285E+002,0.00000E+000
08/15/2013,7.88039E+002,7.88039E+002,7.88039E+002,7.88039E+002,0.00000E+000
08/16/2013,7.73929E+002,7.73929E+002,7.73929E+002,7.73929E+002,0.00000E+000
08/19/2013,8.36729E+002,8.36729E+002,8.36729E+002,8.36729E+002,0.00000E+000
08/20/2013,8.48831E+002,8.48831E+002,8.48831E+002,8.48831E+002,0.00000E+000
08/21/2013,8.55945E+002,8.55945E+002,8.55945E+002,8.55945E+002,0.00000E+000
08/22/2013,8.62912E+002,8.62912E+002,8.62912E+002,8.62912E+002,0.00000E+000
08/23/2013,8.45309E+002,8.45309E+002,8.45309E+002,8.45309E+002,0.00000E+000
08/26/2013,8.59679E+002,8.59679E+002,8.59679E+002,8.59679E+002,0.00000E+000
08/27/2013,8.85249E+002,8.85249E+002,8.85249E+002,8.85249E+002,0.00000E+000
08/28/2013,8.66582E+002,8.66582E+002,8.66582E+002,8.66582E+002,0.00000E+000
08/29/2013,8.69541E+002,8.69541E+002,8.69541E+002,8.69541E+002,0.00000E+000
08/30/2013,9.10116E+002,9.10116E+002,9.10116E+002,9.10116E+002,0.00000E+000
09/03/2013,9.68653E+002,9.68653E+002,9.68653E+002,9.68653E+002,0.00000E+000
09/04/2013,9.52451E+002,9.52451E+002,9.52451E+002,9.52451E+002,0.00000E+000
09/05/2013,9.15469E+002,9.15469E+002,9.15469E+002,9.15469E+002,0.00000E+000
09/06/2013,8.88490E+002,8.88490E+002,8.88490E+002,8.88490E+002,0.00000E+000
09/09/2013,8.90392E+002,8.90392E+002,8.90392E+002,8.90392E+002,0.00000E+000
09/10/2013,9.00113E+002,9.00113E+002,9.00113E+002,9.00113E+002,0.00000E+000
09/11/2013,9.27374E+002,9.27374E+002,9.27374E+002,9.27374E+002,0.00000E+000
09/12/2013,9.45478E+002,9.45478E+002,9.45478E+002,9.45478E+002,0.00000E+000
09/13/2013,9.51324E+002,9.51324E+002,9.51324E+002,9.51324E+002,0.00000E+000
09/16/2013,9.26176E+002,9.26176E+002,9.26176E+002,9.26176E+002,0.00000E+000
09/17/2013,9.24979E+002,9.24979E+002,9.24979E+002,9.24979E+002,0.00000E+000
09/18/2013,9.30262E+002,9.30262E+002,9.30262E+002,9.30262E+002,0.00000E+000
09/19/2013,9.17371E+002,9.17371E+002,9.17371E+002,9.17371E+002,0.00000E+000
09/20/2013,9.05678E+002,9.05678E+002,9.05678E+002,9.05678E+002,0.00000E+000
09/23/2013,8.92716E+002,8.92716E+002,8.92716E+002,8.92716E+002,0.00000E+000
09/24/2013,8.88208E+002,8.88208E+002,8.88208E+002,8.88208E+002,0.00000E+000
09/25/2013,9.01592E+002,9.01592E+002,9.01592E+002,9.01592E+002,0.00000E+000
09/26/2013,9.01803E+002,9.01803E+002,9.01803E+002,9.01803E+002,0.00000E+000
09/27/2013,9.28712E+002,9.28712E+002,9.28712E+002,9.28712E+002,0.00000E+000
09/30/2013,9.27374E+002,9.27374E+002,9.27374E+002,9.27374E+002,0.00000E+000
10/01/2013,9.33714E+002,9.33714E+002,9.33714E+002,9.33714E+002,0.00000E+000
10/02/2013,9.30121E+002,9.30121E+002,9.30121E+002,9.30121E+002,0.00000E+000
10/03/2013,8.66934E+002,8.66934E+002,8.66934E+002,8.66934E+002,0.00000E+000
10/04/2013,9.03494E+002,9.03494E+002,9.03494E+002,9.03494E+002,0.00000E+000
10/07/2013,9.04339E+002,9.04339E+002,9.04339E+002,9.04339E+002,0.00000E+000
10/08/2013,8.85602E+002,8.85602E+002,8.85602E+002,8.85602E+002,0.00000E+000
10/09/2013,9.22091E+002,9.22091E+002,9.22091E+002,9.22091E+002,0.00000E+000
10/10/2013,9.13497E+002,9.13497E+002,9.13497E+002,9.13497E+002,0.00000E+000
10/11/2013,9.17653E+002,9.17653E+002,9.17653E+002,9.17653E+002,0.00000E+000
10/14/2013,9.89575E+002,9.89575E+002,9.89575E+002,9.89575E+002,0.00000E+000
10/15/2013,1.01360E+003,1.01360E+003,1.01360E+003,1.01360E+003,0.00000E+000
10/16/2013,1.01162E+003,1.01162E+003,1.01162E+003,1.01162E+003,0.00000E+000
10/17/2013,1.02952E+003,1.02952E+003,1.02952E+003,1.02952E+003,0.00000E+000
10/18/2013,1.06607E+003,1.06607E+003,1.06607E+003,1.06607E+003,0.00000E+000
10/21/2013,1.27790E+003,1.27790E+003,1.27790E+003,1.27790E+003,0.00000E+000
10/22/2013,1.36271E+003,1.36271E+003,1.36271E+003,1.36271E+003,0.00000E+000
10/23/2013,1.45661E+003,1.45661E+003,1.45661E+003,1.45661E+003,0.00000E+000
10/24/2013,1.40039E+003,1.40039E+003,1.40039E+003,1.40039E+003,0.00000E+000
10/25/2013,1.21499E+003,1.21499E+003,1.21499E+003,1.21499E+003,0.00000E+000
10/28/2013,1.39863E+003,1.39863E+003,1.39863E+003,1.39863E+003,0.00000E+000
10/29/2013,1.43977E+003,1.43977E+003,1.43977E+003,1.43977E+003,0.00000E+000
10/30/2013,1.43843E+003,1.43843E+003,1.43843E+003,1.43843E+003,0.00000E+000
10/31/2013,1.43618E+003,1.43618E+003,1.43618E+003,1.43618E+003,0.00000E+000
11/01/2013,1.44590E+003,1.44590E+003,1.44590E+003,1.44590E+003,0.00000E+000
11/04/2013,1.59397E+003,1.59397E+003,1.59397E+003,1.59397E+003,0.00000E+000
11/05/2013,1.62461E+003,1.62461E+003,1.62461E+003,1.62461E+003,0.00000E+000
11/06/2013,1.83749E+003,1.83749E+003,1.83749E+003,1.83749E+003,0.00000E+000
11/07/2013,2.08249E+003,2.08249E+003,2.08249E+003,2.08249E+003,0.00000E+000
11/08/2013,2.33883E+003,2.33883E+003,2.33883E+003,2.33883E+003,0.00000E+000
11/11/2013,2.39892E+003,2.39892E+003,2.39892E+003,2.39892E+003,0.00000E+000
11/12/2013,2.50409E+003,2.50409E+003,2.50409E+003,2.50409E+003,0.00000E+000
11/13/2013,2.84707E+003,2.84707E+003,2.84707E+003,2.84707E+003,0.00000E+000
11/14/2013,2.87997E+003,2.87997E+003,2.87997E+003,2.87997E+003,0.00000E+000
11/15/2013,2.98788E+003,2.98788E+003,2.98788E+003,2.98788E+003,0.00000E+000
11/18/2013,4.09179E+003,4.09179E+003,4.09179E+003,4.09179E+003,0.00000E+000
11/19/2013,4.32798E+003,4.32798E+003,4.32798E+003,4.32798E+003,0.00000E+000
11/20/2013,3.98239E+003,3.98239E+003,3.98239E+003,3.98239E+003,0.00000E+000
